id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011300331;1;AU;F;SI;SI;X;BR;8
D011300332;1;AU;F;24;SI;X;BR;3
D011300332;2;AU;M;38;SI;X;BR;7
D011300333;1;MO;M;34;SI;X;BR;5
D011300333;2;AU;M;SI;SI;X;BR;8
D011300334;1;MO;M;25;SI;X;BR;3
D011300335;1;MO;M;30;SI;X;BR;4
D011300335;2;AU;X;SI;SI;X;BR;8
D011300336;1;MO;M;21;HA;X;BR;5
D011300337;1;AU;M;26;SI;X;BR;7
D011300337;2;MO;M;32;SI;X;BR;7
D011300339;1;CA;M;41;SI;X;BR;5
D011300339;2;AU;F;47;SI;X;BR;8
D011300339;3;MO;X;SI;SI;X;BR;8
D011300339;4;MO;X;SI;SI;X;BR;8
D011300340;1;CM;M;55;SI;X;BR;5
D011300340;2;MO;F;31;SI;X;BR;7
D011300341;1;CM;M;37;SI;X;BR;5
D011300341;2;AU;M;28;SI;X;BR;6
D011300342;1;AU;M;21;SI;X;BR;7
D011300342;2;AU;F;32;SI;X;BR;7
D011300343;1;AU;M;32;SI;X;BR;7
D011300343;2;MO;M;24;SI;X;BR;8
D011300344;1;AU;M;55;SI;X;BR;5
D011300344;2;AU;F;52;SI;X;BR;7
D011300344;3;CM;M;48;SI;X;BR;7
D011300345;1;AU;M;46;SI;X;BR;5
D011300345;2;MO;M;38;SI;X;BR;7
D011300346;1;AU;M;37;SI;X;BR;8
D011300346;2;MO;M;29;SI;X;BR;3
D011300347;1;MO;M;32;SI;X;BR;3
D011300348;1;ON;M;27;SI;X;BR;5
D011300349;1;AU;F;53;SI;X;BR;8
D011300350;1;CM;M;56;SI;X;BR;3
D011300351;1;MO;M;25;SI;X;BR;5
D011300351;2;AU;M;32;SI;X;BR;5
D011300352;1;CM;M;58;SI;X;BR;3
D011300352;2;AU;F;60;SI;X;BR;3
D011300352;3;AU;X;SI;SI;X;BR;8
D011300353;1;AU;F;SI;SI;X;BR;8
