id_acidente;id_vitima;id_veiculo;sexo;idade;tipo_vitima;classificacao;tipo_veiculo;estado_alcoolizacao;escolaridade;data_obito
D011300333;1;1;M;34;CD;F;MO;BR;5;          
D011300334;1;1;M;25;CD;F;MO;BR;3;          
D011300334;2;1;F;SI;PD;F;MO;BR;8;          
D011300335;1;1;M;30;CD;F;MO;BR;4;          
D011300336;1;1;M;21;CD;F;MO;BR;5;          
D011300336;2;1;F;23;PS;F;MO;BR;5;          
D011300337;1;2;M;32;CD;F;MO;BR;7;          
D011300339;1;2;F;47;CD;F;AU;BR;8;          
D011300340;1;2;F;31;CD;F;MO;BR;7;          
D011300341;1;2;F;33;PS;F;AU;BR;5;          
D011300342;1;1;M;21;CD;F;AU;BR;7;          
D011300342;2;1;F;22;PS;F;AU;BR;6;          
D011300343;1;2;M;24;CD;F;MO;BR;8;          
D011300344;1;1;M;55;CD;F;AU;BR;5;          
D011300345;1;2;M;38;CD;F;MO;BR;7;          
D011300346;1;2;M;29;CD;F;MO;BR;3;          
D011300346;2;2;M;28;PS;F;MO;BR;5;          
D011300347;1;1;M;32;CD;F;MO;BR;3;          
D011300347;2;1;M;77;PD;F;MO;BR;3;          
D011300348;1;1;F;43;PD;F;ON;BR;4;          
D011300349;1;1;F;22;PD;F;AU;BR;5;          
D011300350;1;1;M;27;PD;F;CM;BR;3;          
D011300351;1;1;M;25;CD;F;MO;BR;5;          
D011300352;1;2;F;60;CD;F;AU;BR;3;          
D011300352;2;3;M;13;PS;F;AU;BR;3;          
D011300353;1;1;F;30;PS;F;AU;BR;7;          
D011300354;1;1;F;22;PD;F;ON;BR;5;          
D011300355;1;2;F;23;PS;F;MO;BR;5;          
D011300356;1;1;M;20;CD;F;MO;BR;7;          
D011300356;2;1;F;32;PD;F;SI;BR;5;          
D011300357;1;2;M;36;CD;F;MO;BR;5;          
D011300359;1;1;M;35;CD;F;AU;BR;7;          
D011300359;2;2;M;25;CD;F;MO;BR;3;          
D011300360;1;1;M;25;CD;F;MO;BR;3;          
D011300361;1;1;F;46;PD;F;AU;BR;8;          
D011300362;1;1;M;31;PD;F;ON;BR;3;          
D011300363;1;2;F;47;CD;F;AU;BR;7;          
D011300364;1;1;M;40;CD;F;MO;BR;5;          
D011300365;1;1;F;75;PD;F;MO;BR;8;          
D011300366;1;1;F;20;PD;F;OU;BR;5;          
D011300367;1;1;M;62;CD;F;AU;BR;5;          
D011300368;1;1;M;26;CD;F;MO;BR;7;          
D011300369;1;1;F;24;PS;F;AU;BR;5;          
D011300370;1;1;M;32;PS;F;SI;BR;4;          
D011300371;1;1;F;23;PS;F;CM;BR;8;          
D011300372;1;2;M;28;CD;F;MO;BR;5;          
D011300373;1;2;M;17;CD;F;MO;BR;3;          
D011300374;1;5;M;38;CD;F;MO;BR;5;          
D011300375;1;1;M;41;CD;F;MO;BR;5;          
D011300376;1;1;M;36;CD;F;MO;BR;3;          
D011300377;1;1;M;24;CD;F;MO;BR;6;          
D011300378;1;1;M;33;CD;F;OU;BR;8;          
D011300379;1;2;F;48;CD;F;MO;BR;5;          
D011300379;2;2;F;21;PS;F;MO;BR;6;          
D011300380;1;2;M;36;CD;F;BI;BR;7;          
D011300381;1;3;M;57;CD;F;MO;BR;5;          
D011300382;1;1;M;25;CD;F;ON;BR;3;          
D011300383;1;1;F;21;PD;F;SI;BR;5;          
D011300384;1;2;M;28;CD;F;AU;BR;3;          
D011300385;1;1;F;53;PD;F;AU;BR;3;          
D011300386;1;1;F;23;PS;F;ON;BR;7;          
D011300387;1;1;M;25;CD;F;MO;BR;5;          
D011300388;1;1;M;36;PD;F;AU;BR;6;          
D011300389;1;2;F;33;CD;F;AU;BR;5;          
D011300390;1;2;M;55;PD;F;AU;BR;3;          
D011300391;1;1;M;25;PD;F;MO;BR;3;          
D011300392;1;1;F;27;CD;F;AU;BR;7;          
D011300393;1;1;M;31;CD;F;MO;BR;8;          
D011300394;1;1;M;33;CD;F;CA;BR;3;          
D011300394;2;1;M;19;PS;F;CA;BR;8;          
D011300394;3;1;M;18;PS;F;CA;BR;5;          
D011300395;1;1;M;32;CD;F;CA;BR;7;          
D011300395;2;1;M;25;PS;F;CA;BR;3;          
D011300396;1;1;F;25;PS;F;MO;BR;3;          
D011300397;1;1;F;28;PS;F;MO;BR;3;          
D011300398;1;1;M;25;CD;F;MO;BR;7;          
D011300399;1;1;F;49;PS;F;OU;BR;5;          
D011300400;1;1;M;33;CD;F;MO;BR;7;          
D011300402;1;1;M;54;PD;F;SI;BR;5;          
D011300403;1;1;M;28;CD;F;MO;BR;5;          
D011300404;1;1;M;33;CD;F;MO;BR;5;          
D011300405;1;1;M;30;CD;F;MO;BR;5;          
D011300406;1;1;M;34;CD;F;MO;BR;5;          
D011300407;1;1;M;32;CD;F;CM;BR;8;          
D011300408;1;1;M;48;PD;F;AU;BR;3;          
D011300409;1;1;M;29;PD;F;ON;BR;5;          
D011300410;1;1;M;58;CD;F;MO;BR;7;          
D011300411;1;1;M;20;PD;F;MO;BR;1;          
D011300412;1;1;M;45;CD;F;AU;BR;8;          
D011300413;1;1;F;81;PD;F;AU;BR;3;          
D011300414;1;1;M;40;PD;F;MO;BR;3;          
D011300415;1;1;M;40;CD;F;MO;BR;3;          
D011300416;1;1;X;SI;SI;F;AU;BR;8;          
D011300416;2;2;M;24;CD;F;AU;BR;3;          
D011300418;1;1;F;65;PS;F;OU;BR;5;          
D011300419;1;2;M;38;CD;F;MO;BR;5;          
D011300420;1;1;M;21;CD;F;AU;BR;5;          
D011300421;1;2;M;44;CD;F;BI;BR;6;          
D011300422;1;2;M;40;CD;F;MO;BR;5;          
D011300422;2;2;M;21;PS;F;MO;BR;3;          
D011300423;1;2;M;28;CD;F;MO;BR;3;          
D011300424;1;1;F;36;PD;F;MO;BR;8;          
D011300425;1;1;F;24;PS;F;AU;BR;5;          
D011300425;2;2;F;31;PS;F;AU;BR;7;          
D011300426;1;2;M;40;CD;F;MO;BR;3;          
D011300427;1;1;M;29;CD;F;MO;BR;5;          
D011300428;1;1;F;30;PD;F;MO;BR;5;          
D011300429;1;1;M;25;CD;F;MO;BR;6;          
D011300430;1;2;M;35;CD;F;MO;BR;6;          
D011300431;1;1;F;35;PD;F;AU;BR;3;          
D011300431;2;1;F;40;PD;F;AU;BR;8;          
D011300432;1;1;M;54;CD;F;MO;BR;3;          
D011300433;1;1;M;21;CD;F;MO;BR;8;          
D011300434;1;1;M;47;CD;F;MO;BR;3;          
D011300435;1;1;F;53;PS;F;ON;BR;5;          
