Groups, Gene1, Gene2, Sigmma_diag, C, gamma, errors
braca1_x_braca2, 2041, 1449, 0.1, 3.98107170553, 0.1, 0.368
braca1_x_not_braca1, 1613, 2638, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2225, 1305, 0.1, 3.98107170553, 1.0, 0.210909090909
braca1_x_braca2, 2235, 424, 0.1, 3.98107170553, 0.01, 0.308
braca1_x_not_braca1, 3177, 1601, 0.1, 63.095734448, 0.01, 0.218181818182
braca2_x_not_braca2, 233, 1068, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2996, 2887, 0.1, 3.98107170553, 1.0, 0.261333333333
braca1_x_not_braca1, 2682, 1556, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 386, 579, 0.1, 3.98107170553, 100.0, 0.328181818182
braca1_x_braca2, 2255, 253, 0.1, 63.095734448, 10.0, 0.348
braca1_x_not_braca1, 2608, 1918, 0.1, 3.98107170553, 10.0, 0.266363636364
braca2_x_not_braca2, 2916, 256, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 601, 3036, 0.1, 63.095734448, 1.0, 0.277333333333
braca1_x_not_braca1, 1980, 1687, 0.1, 3.98107170553, 10.0, 0.339090909091
braca2_x_not_braca2, 1299, 605, 0.1, 3.98107170553, 100.0, 0.335454545455
braca1_x_braca2, 688, 1742, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 1921, 2296, 0.1, 3.98107170553, 1.0, 0.209090909091
braca2_x_not_braca2, 1865, 215, 0.1, 3.98107170553, 0.1, 0.220909090909
braca1_x_braca2, 2860, 1036, 0.1, 3.98107170553, 10.0, 0.308
braca1_x_not_braca1, 1912, 918, 0.1, 3.98107170553, 1.0, 0.189090909091
braca2_x_not_braca2, 1216, 394, 0.1, 63.095734448, 1.0, 0.283636363636
braca1_x_braca2, 3039, 2267, 0.1, 3.98107170553, 0.01, 0.4
braca1_x_not_braca1, 716, 1740, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2595, 954, 0.1, 63.095734448, 0.01, 0.19
braca1_x_braca2, 1606, 1784, 0.1, 3.98107170553, 0.1, 0.274666666667
braca1_x_not_braca1, 3167, 382, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2124, 1566, 0.1, 3.98107170553, 1.0, 0.270909090909
braca1_x_braca2, 2810, 200, 0.1, 3.98107170553, 1.0, 0.18
braca1_x_not_braca1, 2234, 2647, 0.1, 63.095734448, 1.0, 0.263636363636
braca2_x_not_braca2, 728, 2791, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1432, 792, 0.1, 3.98107170553, 100.0, 0.430666666667
braca1_x_not_braca1, 275, 2491, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1558, 453, 0.1, 3.98107170553, 1.0, 0.253636363636
braca1_x_braca2, 778, 1345, 0.1, 3.98107170553, 10.0, 0.294666666667
braca1_x_not_braca1, 1050, 1017, 0.1, 3.98107170553, 0.1, 0.186363636364
braca2_x_not_braca2, 2881, 886, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 576, 2048, 0.1, 0.001, 100.0, 0.466666666667
braca1_x_not_braca1, 1948, 1320, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 119, 295, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1219, 2864, 0.1, 63.095734448, 0.1, 0.341333333333
braca1_x_not_braca1, 3, 639, 0.1, 3.98107170553, 100.0, 0.326363636364
braca2_x_not_braca2, 770, 512, 0.1, 63.095734448, 1.0, 0.349090909091
braca1_x_braca2, 965, 2879, 0.1, 63.095734448, 0.01, 0.342666666667
braca1_x_not_braca1, 131, 2466, 0.1, 63.095734448, 0.1, 0.2
braca2_x_not_braca2, 91, 1916, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 837, 319, 0.1, 1000.0, 0.01, 0.306666666667
braca1_x_not_braca1, 261, 2654, 0.1, 3.98107170553, 100.0, 0.309090909091
braca2_x_not_braca2, 2683, 360, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2882, 17, 0.1, 3.98107170553, 1.0, 0.236
braca1_x_not_braca1, 2997, 1437, 0.1, 1000.0, 0.01, 0.259090909091
braca2_x_not_braca2, 1348, 2919, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1876, 1266, 0.1, 63.095734448, 0.01, 0.226666666667
braca1_x_not_braca1, 2869, 2097, 0.1, 63.095734448, 1.0, 0.166363636364
braca2_x_not_braca2, 1980, 2692, 0.1, 3.98107170553, 1.0, 0.249090909091
braca1_x_braca2, 249, 1526, 0.1, 3.98107170553, 1.0, 0.237333333333
braca1_x_not_braca1, 83, 1694, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2457, 770, 0.1, 63.095734448, 10.0, 0.460909090909
braca1_x_braca2, 2204, 179, 0.1, 3.98107170553, 100.0, 0.392
braca1_x_not_braca1, 2512, 2991, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 92, 2912, 0.1, 3.98107170553, 1.0, 0.263636363636
braca1_x_braca2, 1160, 430, 0.1, 3.98107170553, 0.1, 0.309333333333
braca1_x_not_braca1, 2830, 1802, 0.1, 3.98107170553, 100.0, 0.334545454545
braca2_x_not_braca2, 449, 1759, 0.1, 63.095734448, 0.1, 0.184545454545
braca1_x_braca2, 1154, 2905, 0.1, 3.98107170553, 1.0, 0.157333333333
braca1_x_not_braca1, 113, 2156, 0.1, 3.98107170553, 1.0, 0.115454545455
braca2_x_not_braca2, 372, 2284, 0.1, 1000.0, 0.01, 0.210909090909
braca1_x_braca2, 3171, 112, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 3168, 400, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 3167, 2627, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1705, 3041, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 2265, 1271, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 3089, 3172, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1978, 2056, 0.1, 3.98107170553, 0.1, 0.3
braca1_x_not_braca1, 2074, 2524, 0.1, 3.98107170553, 100.0, 0.334545454545
braca2_x_not_braca2, 1717, 2083, 0.1, 3.98107170553, 1.0, 0.134545454545
braca1_x_braca2, 2236, 1594, 0.1, 3.98107170553, 10.0, 0.342666666667
braca1_x_not_braca1, 2730, 2585, 0.1, 1000.0, 1.0, 0.281818181818
braca2_x_not_braca2, 783, 616, 0.1, 3.98107170553, 1.0, 0.186363636364
braca1_x_braca2, 3007, 514, 0.1, 1000.0, 0.01, 0.362666666667
braca1_x_not_braca1, 1369, 2058, 0.1, 63.095734448, 0.01, 0.245454545455
braca2_x_not_braca2, 194, 180, 0.1, 3.98107170553, 0.1, 0.239090909091
braca1_x_braca2, 118, 1199, 0.1, 3.98107170553, 1.0, 0.113333333333
braca1_x_not_braca1, 466, 1532, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1737, 307, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2784, 2204, 0.1, 3.98107170553, 10.0, 0.382666666667
braca1_x_not_braca1, 386, 1736, 0.1, 63.095734448, 1.0, 0.350909090909
braca2_x_not_braca2, 1798, 553, 0.1, 63.095734448, 0.1, 0.250909090909
braca1_x_braca2, 2928, 1979, 0.1, 3.98107170553, 10.0, 0.153333333333
braca1_x_not_braca1, 815, 3050, 0.1, 1000.0, 1.0, 0.234545454545
braca2_x_not_braca2, 179, 1710, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1621, 70, 0.1, 63.095734448, 0.01, 0.348
braca1_x_not_braca1, 628, 3065, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 3116, 1873, 0.1, 3.98107170553, 100.0, 0.358181818182
braca1_x_braca2, 796, 2813, 0.1, 1000.0, 0.1, 0.201333333333
braca1_x_not_braca1, 2846, 987, 0.1, 3.98107170553, 100.0, 0.314545454545
braca2_x_not_braca2, 3104, 2193, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1736, 874, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 1284, 877, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2150, 1201, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1748, 2364, 0.1, 0.001, 10.0, 0.466666666667
braca1_x_not_braca1, 1313, 1537, 0.1, 3.98107170553, 1.0, 0.218181818182
braca2_x_not_braca2, 207, 2353, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1035, 473, 0.1, 3.98107170553, 10.0, 0.392
braca1_x_not_braca1, 3087, 3060, 0.1, 3.98107170553, 0.1, 0.176363636364
braca2_x_not_braca2, 919, 1011, 0.1, 3.98107170553, 0.1, 0.190909090909
braca1_x_braca2, 3053, 2202, 0.1, 63.095734448, 0.1, 0.209333333333
braca1_x_not_braca1, 516, 224, 0.1, 3.98107170553, 1.0, 0.254545454545
braca2_x_not_braca2, 1448, 1517, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2832, 2790, 0.1, 3.98107170553, 0.01, 0.202666666667
braca1_x_not_braca1, 2433, 1213, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2733, 3188, 0.1, 3.98107170553, 10.0, 0.206363636364
braca1_x_braca2, 2657, 2520, 0.1, 1000.0, 1.0, 0.333333333333
braca1_x_not_braca1, 2774, 2219, 0.1, 3.98107170553, 100.0, 0.345454545455
braca2_x_not_braca2, 1772, 1785, 0.1, 1000.0, 0.01, 0.233636363636
braca1_x_braca2, 311, 1369, 0.1, 3.98107170553, 1.0, 0.266666666667
braca1_x_not_braca1, 1191, 2930, 0.1, 3.98107170553, 10.0, 0.291818181818
braca2_x_not_braca2, 3113, 1424, 0.1, 3.98107170553, 0.1, 0.27
braca1_x_braca2, 230, 1762, 0.1, 3.98107170553, 0.1, 0.369333333333
braca1_x_not_braca1, 1963, 751, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2663, 43, 0.1, 3.98107170553, 10.0, 0.301818181818
braca1_x_braca2, 712, 416, 0.1, 63.095734448, 1.0, 0.332
braca1_x_not_braca1, 1096, 219, 0.1, 63.095734448, 1.0, 0.314545454545
braca2_x_not_braca2, 2549, 2797, 0.1, 3.98107170553, 10.0, 0.3
braca1_x_braca2, 2073, 1414, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 1650, 2577, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2319, 2976, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 562, 1255, 0.1, 3.98107170553, 0.1, 0.198666666667
braca1_x_not_braca1, 3032, 675, 0.1, 1000.0, 0.1, 0.264545454545
